event_id,event_name,results_status,day_window,start_date,finish_date,location,stars,division_id,division_name,sex,event_link,source,elimination_name,elimination_id,standard_event_name,year
147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-02-05,Australia,2,290222,Men,Men,https://liveheats.com/events/147592,live heats,Men,290222,North Windsurfing East Coast Titles. Sydney,2024
147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-02-05,Australia,2,290223,Women,Women,https://liveheats.com/events/147592,live heats,Women,290223,North Windsurfing East Coast Titles. Sydney,2024
147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-02-05,Australia,2,290225,Masters,,https://liveheats.com/events/147592,live heats,Masters,290225,North Windsurfing East Coast Titles. Sydney,2024
147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-02-05,Australia,2,290226,Open AM,,https://liveheats.com/events/147592,live heats,Open AM,290226,North Windsurfing East Coast Titles. Sydney,2024
187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,2024-10-18,Scotland,3,353317,Men,Men,https://liveheats.com/events/187570,live heats,Men,353317,Tiree Wave Classic,2024
187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,2024-10-18,Scotland,3,353318,Women,Women,https://liveheats.com/events/187570,live heats,Women,353318,Tiree Wave Classic,2024
187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,2024-10-18,Scotland,3,353319,Junior Boys,Men,https://liveheats.com/events/187570,live heats,Junior Boys,353319,Tiree Wave Classic,2024
187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,2024-10-18,Scotland,3,353320,Masters,,https://liveheats.com/events/187570,live heats,Masters,353320,Tiree Wave Classic,2024
187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,2024-10-18,Scotland,3,353321,Junior Girls,Women,https://liveheats.com/events/187570,live heats,Junior Girls,353321,Tiree Wave Classic,2024
118319,CHILE: 4 STAR SURAZO Infernal - Women,Results Published,9,2023-03-25,2023-04-03,Chile,4,248203,Women,Women,https://liveheats.com/events/118319,live heats,Women,248203,SURAZO Infernal - Women,2023
117362,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - OPEN PRO,Results Published,6,2023-03-16,2023-03-22,Japan,5,247081,Men,Men,https://liveheats.com/events/117362,live heats,Men,247081,SPICARE Omaezaki Japan Cup - OPEN PRO,2023
117362,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - OPEN PRO,Results Published,6,2023-03-16,2023-03-22,Japan,5,247082,Women,Women,https://liveheats.com/events/117362,live heats,Women,247082,SPICARE Omaezaki Japan Cup - OPEN PRO,2023
117362,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - OPEN PRO,Results Published,6,2023-03-16,2023-03-22,Japan,5,247083,Junior Boys,Men,https://liveheats.com/events/117362,live heats,Junior Boys,247083,SPICARE Omaezaki Japan Cup - OPEN PRO,2023
117362,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - OPEN PRO,Results Published,6,2023-03-16,2023-03-22,Japan,5,247084,Masters,,https://liveheats.com/events/117362,live heats,Masters,247084,SPICARE Omaezaki Japan Cup - OPEN PRO,2023
118385,CHILE: 4 STAR SURAZO Infernal - Masters & Youth,Results Published,9,2023-03-25,2023-04-03,Chile,4,248368,Masters,,https://liveheats.com/events/118385,live heats,Masters,248368,SURAZO Infernal - Masters & Youth,2023
118385,CHILE: 4 STAR SURAZO Infernal - Masters & Youth,Results Published,9,2023-03-25,2023-04-03,Chile,4,248369,Junior Boys,Men,https://liveheats.com/events/118385,live heats,Junior Boys,248369,SURAZO Infernal - Masters & Youth,2023
118715,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,Results Published,6,2023-03-16,2023-03-22,Japan,5,248731,Women,Women,https://liveheats.com/events/118715,live heats,Women,248731,SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,2023
118715,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,Results Published,6,2023-03-16,2023-03-22,Japan,5,248732,Junior Boys,Men,https://liveheats.com/events/118715,live heats,Junior Boys,248732,SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,2023
118715,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,Results Published,6,2023-03-16,2023-03-22,Japan,5,248733,Masters,,https://liveheats.com/events/118715,live heats,Masters,248733,SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,2023
118715,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,Results Published,6,2023-03-16,2023-03-22,Japan,5,253879,U15 Girls,Women,https://liveheats.com/events/118715,live heats,U15 Girls,253879,SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,2023
118715,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,Results Published,6,2023-03-16,2023-03-22,Japan,5,253880,U15 Boys,Men,https://liveheats.com/events/118715,live heats,U15 Boys,253880,SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,2023
147591,Australia: 2 STAR Severne Wavesailing Nationals,Results Published,9,2023-11-11,2023-11-20,Australia,2,290217,Men,Men,https://liveheats.com/events/147591,live heats,Men,290217,Severne Wavesailing Nationals,2023
147591,Australia: 2 STAR Severne Wavesailing Nationals,Results Published,9,2023-11-11,2023-11-20,Australia,2,290218,Women,Women,https://liveheats.com/events/147591,live heats,Women,290218,Severne Wavesailing Nationals,2023
147591,Australia: 2 STAR Severne Wavesailing Nationals,Results Published,9,2023-11-11,2023-11-20,Australia,2,290219,Junior Boys,Men,https://liveheats.com/events/147591,live heats,Junior Boys,290219,Severne Wavesailing Nationals,2023
147591,Australia: 2 STAR Severne Wavesailing Nationals,Results Published,9,2023-11-11,2023-11-20,Australia,2,290220,Masters,,https://liveheats.com/events/147591,live heats,Masters,290220,Severne Wavesailing Nationals,2023
147591,Australia: 2 STAR Severne Wavesailing Nationals,Results Published,9,2023-11-11,2023-11-20,Australia,2,316788,Junior Girls,Women,https://liveheats.com/events/147591,live heats,Junior Girls,316788,Severne Wavesailing Nationals,2023
187563,CHILE: 5 STAR Surazo Infernal World Cup,Results Published,12,2024-03-31,2024-04-12,Chile,5,353294,Women,Women,https://liveheats.com/events/187563,live heats,Women,353294,Surazo Infernal World Cup,2024
