source,event_id,eventDivisionId,sex,round_name,round_order,heat_id,heat_order,total_winners_progressing,winners_progressing_to_round_order,total_losers_progressing,losers_progressing_to_round_order,Total_Round_Heats,Max_Heats,actual_heat_order,y_pos
Live Heats,72455,338060,Pro Women's Double,Semifinal,7,1891361,0,,,,,1,2,1,1.5
Live Heats,72455,338060,Pro Women's Double,Round 1,0,1891327,1,,,,,2,2,2,2.0
Live Heats,72455,338060,Pro Women's Double,Round 2,1,1891337,1,,,,,2,2,2,2.0
Live Heats,72455,338128,Masters Single,Quarterfinal,0,1888130,0,2.0,3.0,,,4,4,1,1.0
Live Heats,72455,338128,Masters Single,Semifinal,1,1888134,0,2.0,3.0,,,1,4,1,2.5
Live Heats,72455,338128,Masters Single,Quarterfinal,0,1888131,1,2.0,3.0,,,4,4,2,2.0
Live Heats,72455,338128,Masters Single,Quarterfinal,0,1888132,2,2.0,3.0,,,4,4,3,3.0
Live Heats,72455,338128,Masters Single,Quarterfinal,0,1888133,3,2.0,3.0,,,4,4,4,4.0
Live Heats,181652,343314,Men,Final,0,1897591,0,0.0,1.0,,,1,1,1,1.0
Live Heats,181652,343315,Women,Final,0,1897673,0,,,,,1,1,1,1.0
Live Heats,187553,353243,Men,Final,0,2300199,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187554,353247,Women,Final,0,2061243,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187554,353248,Men,Final,0,2645520,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187554,353249,Masters,Final,0,2061247,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187554,353250,Junior Girls,Final,0,2061245,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187554,353251,Junior Boys,Final,0,2061246,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187555,353252,Women,Final,0,2083452,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187555,353253,Men,Final,0,2085518,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187556,353257,Women,Final,0,2083339,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187556,353258,Men,Final,0,2083340,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187556,353259,Masters,Final,0,2083344,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187558,353267,Junior Girls,Final,0,2061252,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187558,353268,Junior Boys,Final,0,2053686,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187558,353271,U15 Girls,Final,0,2061249,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187558,353272,U15 Boys,Final,0,2061251,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187558,353273,U13,Final,0,2061250,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187559,353274,Women,Final,0,2020246,0,2.0,3.0,,,1,1,1,1.0
Live Heats,187559,353275,Men,Final,0,2311419,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187559,353276,Masters,Quarterfinal,0,2020210,0,2.0,3.0,,,3,3,1,1.0
Live Heats,187559,353276,Masters,Semifinal,1,2020211,0,2.0,3.0,,,2,3,1,1.5
Live Heats,187559,353276,Masters,Final,2,2020212,0,,,,,1,3,1,2.0
Live Heats,187559,353276,Masters,Quarterfinal,0,2020213,1,2.0,3.0,,,3,3,2,2.0
Live Heats,187559,353276,Masters,Semifinal,1,2020215,1,2.0,3.0,,,2,3,2,2.5
Live Heats,187559,353276,Masters,Quarterfinal,0,2020214,2,2.0,3.0,,,3,3,3,3.0
Live Heats,187560,353279,Women,Final,0,2085547,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187560,353280,Men,Final,0,2311405,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187560,353281,Masters,Final,0,2085555,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187560,353283,Junior Boys,Final,0,2085554,0,0.0,1.0,,,1,1,1,1.0
Live Heats,187562,353289,Women,Round 1 Seeding,0,2078512,0,3.0,4.0,,,3,3,1,1.0
Live Heats,187562,353289,Women,Semi Final,1,2079105,0,2.0,3.0,,,2,3,1,1.5
Live Heats,187562,353289,Women,Final,2,2079107,0,0.0,1.0,,,1,3,1,2.0
