source,event_id,division_id,athlete_id,place,incomplete
Live Heats,187564,353300,527155,9,False
Live Heats,187564,353300,820094,10,False
Live Heats,187564,353300,1411927,11,False
Live Heats,187564,353300,1200835,12,False
Live Heats,187564,353300,923450,13,False
Live Heats,187564,353300,817916,13,False
Live Heats,187564,353300,1334796,15,False
Live Heats,187564,353300,937046,15,False
Live Heats,187564,353300,923485,17,False
Live Heats,187564,353300,835109,17,False
Live Heats,187564,353300,818679,17,False
Live Heats,187564,353300,530552,17,False
Live Heats,187564,353300,837486,21,False
Live Heats,187564,353300,1408086,21,False
Live Heats,187564,353300,1169354,21,False
Live Heats,187564,353300,817982,21,False
Live Heats,187564,353300,1585991,25,False
Live Heats,187564,353300,923487,25,False
Live Heats,187564,353300,1392368,25,False
Live Heats,187564,353300,1165941,25,False
Live Heats,187564,353300,819666,29,False
Live Heats,187564,353300,1202030,29,False
Live Heats,187564,353300,1322590,29,False
Live Heats,187564,353300,1169471,29,False
Live Heats,187564,353300,844750,33,False
Live Heats,187564,353300,530553,33,False
Live Heats,187564,353300,923494,33,False
Live Heats,187564,353300,530548,33,False
Live Heats,187564,353300,1576025,33,False
Live Heats,187564,353300,775151,33,False
Live Heats,187564,353300,923493,33,False
Live Heats,187564,353300,1576322,33,False
Live Heats,187564,353300,1198581,41,False
Live Heats,187564,353300,1166082,41,False
Live Heats,187564,353300,1396558,41,False
Live Heats,187564,353300,1163257,41,False
Live Heats,187564,353300,1203723,41,False
Live Heats,187564,353300,1198522,41,False
Live Heats,187564,353300,1076613,41,False
Live Heats,187564,353300,1322591,41,False
Live Heats,187564,353301,923345,1,False
Live Heats,187564,353301,1205039,2,False
Live Heats,187564,353301,1322560,3,False
Live Heats,187564,353301,1322561,4,False
Live Heats,187564,353301,1122481,5,False
Live Heats,187564,353301,1322562,5,False
Live Heats,187564,353301,1602528,7,False
Live Heats,187564,353301,1322565,7,False
Live Heats,187564,353301,1322564,7,False
Live Heats,187564,353301,1322567,10,False
Live Heats,187564,353302,815441,1,False
Live Heats,187564,353302,937178,2,False
Live Heats,187564,353302,937179,3,False
Live Heats,187564,353302,1069737,3,False
Live Heats,187564,353303,937046,1,False
Live Heats,187564,353303,1398810,2,False
Live Heats,187564,353303,1166082,3,False
Live Heats,187564,353303,937047,4,False
Live Heats,187564,353303,1065416,5,False
Live Heats,187564,353303,937113,5,False
Live Heats,187564,353303,1076611,7,False
Live Heats,187564,353303,1169643,7,False
Live Heats,187564,353303,937049,9,False
Live Heats,187564,353303,937050,10,False
Live Heats,187564,353303,937048,11,False
Live Heats,187564,353303,923887,12,False
Live Heats,187564,353303,923888,13,False
Live Heats,187564,454486,1207521,1,False
Live Heats,187564,454486,1177773,2,False
Live Heats,187564,454486,1198918,3,False
Live Heats,187564,454487,1169635,1,False
Live Heats,187564,454487,923450,2,False
Live Heats,187564,454487,1585991,3,False
Live Heats,187564,454487,923485,4,False
Live Heats,187564,454487,1576025,5,False
Live Heats,187564,454487,1576322,5,False
Live Heats,187564,454487,1076612,7,False
Live Heats,187564,454487,1396558,7,False
Live Heats,187564,454487,844750,9,False
Live Heats,187564,454487,775151,10,False
Live Heats,187564,454487,923883,11,False
Live Heats,187564,454487,1176481,12,False
Live Heats,187564,454487,1198581,13,False
Live Heats,187564,454487,1076613,13,False
Live Heats,187564,454487,1076615,15,False
Live Heats,187564,454487,923904,15,False
Live Heats,187564,454487,1396577,17,False
Live Heats,270680,471646,1337275,1,False
Live Heats,270680,471646,1306332,2,False
Live Heats,270680,471646,1205557,3,False
Live Heats,270680,471646,1206567,4,False
Live Heats,270680,471646,1199509,5,False
Live Heats,270680,471646,1589294,5,False
Live Heats,270680,471646,1324930,7,False
Live Heats,270680,471646,1206477,7,False
Live Heats,270680,471646,1329185,9,False
Live Heats,270680,471646,1417289,9,False
Live Heats,270680,471648,174196,1,False
Live Heats,270680,471648,1338689,2,False
Live Heats,270680,471648,1206272,3,False
Live Heats,270680,471650,174196,1,False
Live Heats,270680,471650,1338689,2,False
Live Heats,270680,471650,1338877,3,False
Live Heats,270680,471650,1206272,4,False
Live Heats,270680,471650,1338967,5,False
Live Heats,270680,471656,1324930,1,False
Live Heats,270680,471656,1199509,2,False
Live Heats,270680,471656,1202340,3,False
Live Heats,270680,471656,1338689,4,False
Live Heats,270680,471656,1417289,5,False
Live Heats,270680,471656,1350173,6,False
Live Heats,270680,471656,1338877,7,False
Live Heats,270680,471656,999813,7,False
Live Heats,270680,471656,1338967,9,False
Live Heats,270680,471656,1350111,9,False
Live Heats,270680,471657,1329185,1,False
Live Heats,270680,471657,1347244,2,False
Live Heats,270680,471657,1206477,3,False
Live Heats,270680,471657,566400,4,False
Live Heats,285332,492502,817949,1,False
Live Heats,285332,492502,1122386,2,False
Live Heats,285332,492502,566301,3,False
Live Heats,285332,492502,1050508,4,False
Live Heats,285332,492502,1122389,5,False
Live Heats,285332,492502,1122390,6,False
Live Heats,285332,492502,1122412,7,False
Live Heats,285332,492502,1488181,7,False
Live Heats,285332,492502,1122388,9,False
Live Heats,285332,492503,1122416,1,False
Live Heats,285332,492503,1122415,2,False
Live Heats,285332,492503,1488177,3,False
Live Heats,285332,492503,1122417,4,False
Live Heats,285332,492503,1488180,5,False
Live Heats,285332,492503,1488179,5,False
Live Heats,285332,492503,1488178,5,False
Live Heats,147529,290168,1198522,1,False
Live Heats,147529,290168,1200835,2,False
Live Heats,147529,290168,1122419,3,False
Live Heats,147529,290168,1122420,4,False
Live Heats,147529,290168,1122421,5,False
Live Heats,147529,290168,1122422,6,False
Live Heats,147529,290168,1122424,7,False
Live Heats,147529,290168,1122423,7,False
Live Heats,147529,290168,1113092,9,False
Live Heats,147529,290168,1122426,9,False
Live Heats,147529,290168,1122425,9,False
Live Heats,147529,290168,1122427,12,False
Live Heats,147529,290168,1122429,13,False
Live Heats,147529,290168,1122428,13,False
Live Heats,147529,290168,1122431,15,False
Live Heats,147529,290168,1122432,16,False
Live Heats,147529,290168,1122433,17,False
Live Heats,147529,290168,1122434,18,False
Live Heats,147529,290168,1122436,19,False
Live Heats,147529,290168,1122437,20,False
Live Heats,147529,290168,1122438,21,False
Live Heats,147529,290168,1122439,22,False
Live Heats,147529,290168,1122442,23,False
Live Heats,147529,290168,1122441,23,False
Live Heats,147529,290168,1122456,25,False
Live Heats,147529,290168,1122454,25,False
Live Heats,147529,290168,1122458,27,False
Live Heats,147529,290168,1122457,27,False
Live Heats,147529,290169,1122460,1,False
Live Heats,147529,290169,1122461,2,False
Live Heats,147529,290169,1122462,3,False
Live Heats,147529,290169,1573703,4,False
Live Heats,147529,290169,1122464,5,False
Live Heats,147529,290170,1122465,1,False
Live Heats,147529,290170,1122466,2,False
Live Heats,147529,290170,1122467,3,False
Live Heats,147529,290170,1122468,4,False
Live Heats,147529,290170,1122469,5,False
Live Heats,147529,290170,1122470,6,False
Live Heats,147529,290170,1122471,7,False
Live Heats,147529,290170,1122472,8,False
Live Heats,147529,290170,1122473,9,False
Live Heats,147529,290171,1122474,1,False
Live Heats,147529,290171,1122475,2,False
Live Heats,147529,290171,1122476,3,False
Live Heats,147529,290171,1122477,4,False
Live Heats,147529,290171,1122479,5,False
Live Heats,147529,290171,1122480,6,False
Live Heats,147529,290171,1122481,7,False
Live Heats,147529,290171,1122482,8,False
Live Heats,147529,290171,1122484,9,False
Live Heats,147529,290171,1122483,9,False
Live Heats,147529,290171,1122485,11,False
Live Heats,147529,290171,1122486,12,False
Live Heats,147529,290171,1122488,13,False
Live Heats,147529,290171,1122487,13,False
Live Heats,181652,343314,1334796,1,False
Live Heats,181652,343314,843691,2,False
Live Heats,181652,343314,527155,3,False
Live Heats,181652,343314,1205611,4,False
Live Heats,181652,343314,1165941,5,False
Live Heats,181652,343314,1076658,6,False
Live Heats,181652,343314,845736,7,False
Live Heats,181652,343314,822932,8,False
Live Heats,181652,343314,843557,9,False
Live Heats,181652,343314,835109,9,False
Live Heats,181652,343314,1076659,11,False
Live Heats,181652,343314,1169354,11,False
Live Heats,181652,343314,818279,13,False
Live Heats,181652,343314,819666,13,False
Live Heats,181652,343314,1171826,15,False
Live Heats,181652,343314,1408086,15,False
Live Heats,181652,343314,1578513,17,False
Live Heats,181652,343314,820094,17,False
Live Heats,181652,343314,844750,17,False
Live Heats,181652,343314,1169471,17,False
Live Heats,181652,343314,837486,21,False
Live Heats,181652,343314,1409162,21,False
Live Heats,181652,343314,818679,21,False
Live Heats,181652,343314,530552,21,False
Live Heats,181652,343314,1169635,25,False
Live Heats,181652,343314,817916,25,False
Live Heats,181652,343314,1166233,25,False
Live Heats,181652,343314,527167,25,False
Live Heats,181652,343314,1200826,29,False
Live Heats,181652,343314,1200379,29,False
Live Heats,181652,343314,817982,29,False
Live Heats,181652,343314,530553,29,False
Live Heats,181652,343315,820127,1,False
Live Heats,181652,343315,820028,2,False
Live Heats,181652,343315,815310,3,False
Live Heats,181652,343315,1203243,4,False
Live Heats,181652,343315,1076672,5,False
Live Heats,181652,343315,529366,6,False
Live Heats,181652,343315,820787,7,False
Live Heats,181652,343315,529331,8,False
Live Heats,181652,343315,1210135,9,False
Live Heats,181652,343315,1589294,9,False
Live Heats,181652,343315,1198918,11,False
Live Heats,181652,343315,1076669,11,False
Live Heats,181652,343315,1198791,13,False
Live Heats,181652,343315,815441,13,False
Live Heats,181652,343315,923338,15,False
Live Heats,181652,343315,903847,15,False
Live Heats,181652,343317,1084037,1,False
Live Heats,181652,343317,1076677,2,False
Live Heats,181652,343317,1076681,3,False
Live Heats,181652,343317,1199509,4,False
Live Heats,181652,343317,842633,5,False
Live Heats,181652,343317,1076683,6,False
Live Heats,181652,343317,1301829,7,False
Live Heats,181652,343317,813428,8,False
Live Heats,181652,343317,1205039,8,False
Live Heats,181652,343317,1088557,8,False
Live Heats,181652,343317,1076676,8,False
Live Heats,181652,343317,1205557,12,False
Live Heats,181652,343317,1086827,12,False
Live Heats,181652,343317,1164252,12,False
Live Heats,181652,343317,1076680,12,False
Live Heats,181652,343317,791455,16,False
Live Heats,181652,343317,1087577,16,False
Live Heats,181652,343317,1076678,16,False
Live Heats,181652,343317,1087575,16,False
Live Heats,181652,343317,1087576,20,False
Live Heats,147592,290222,791485,1,False
Live Heats,147592,290222,1111080,2,False
Live Heats,147592,290222,1050269,3,False
Live Heats,147592,290222,1337275,4,False
Live Heats,147592,290222,923859,5,False
