source,event_id,heat_id,division_id,athlete_id,score,modified_total,modifier,type,counting,total_wave,total_jump,total_points,heat_id_athlete_id
Live Heats,72452,1720247,168196,1165941,5.47,5.47,,,,0.0,0.0,13.739999999999998,1720247_1165941
Live Heats,72452,1720247,168196,1578513,3.9,3.9,,,,0.0,0.0,8.77,1720247_1578513
Live Heats,72452,1720247,168196,1578513,4.27,4.27,,,True,0.0,0.0,8.77,1720247_1578513
Live Heats,72452,1720247,168196,1578513,2.93,2.93,,,,0.0,0.0,8.77,1720247_1578513
Live Heats,72452,1720247,168196,1578513,4.5,4.5,,,True,0.0,0.0,8.77,1720247_1578513
Live Heats,72452,1720247,168196,1578513,3.17,3.17,,,,0.0,0.0,8.77,1720247_1578513
Live Heats,72452,1720247,168196,856823,0.0,0.0,,,True,0.0,0.0,0.0,1720247_856823
Live Heats,72452,1720248,168196,1334796,4.8,4.8,,,,0.0,0.0,13.86,1720248_1334796
Live Heats,72452,1720248,168196,1334796,5.53,5.53,,,,0.0,0.0,13.86,1720248_1334796
Live Heats,72452,1720248,168196,1334796,7.63,7.63,,,True,0.0,0.0,13.86,1720248_1334796
Live Heats,72452,1720248,168196,1334796,6.23,6.23,,,True,0.0,0.0,13.86,1720248_1334796
Live Heats,72452,1720248,168196,843557,4.1,4.1,,,,0.0,0.0,10.33,1720248_843557
Live Heats,72452,1720248,168196,843557,5.33,5.33,,,True,0.0,0.0,10.33,1720248_843557
Live Heats,72452,1720248,168196,843557,5.0,5.0,,,True,0.0,0.0,10.33,1720248_843557
Live Heats,72452,1720248,168196,843557,4.63,4.63,,,,0.0,0.0,10.33,1720248_843557
Live Heats,72452,1720248,168196,843557,5.0,5.0,,,,0.0,0.0,10.33,1720248_843557
Live Heats,72452,1720248,168196,830753,3.37,3.37,,,,0.0,0.0,9.04,1720248_830753
Live Heats,72452,1720248,168196,830753,3.87,3.87,,,True,0.0,0.0,9.04,1720248_830753
Live Heats,72452,1720248,168196,830753,2.0,2.0,,,,0.0,0.0,9.04,1720248_830753
Live Heats,72452,1720248,168196,830753,3.7,3.7,,,,0.0,0.0,9.04,1720248_830753
Live Heats,72452,1720248,168196,830753,3.53,3.53,,,,0.0,0.0,9.04,1720248_830753
Live Heats,72452,1720248,168196,830753,3.83,3.83,,,,0.0,0.0,9.04,1720248_830753
Live Heats,72452,1720248,168196,830753,5.17,5.17,,,True,0.0,0.0,9.04,1720248_830753
Live Heats,72452,1720248,168196,830095,2.93,2.93,,,,0.0,0.0,7.8,1720248_830095
Live Heats,72452,1720248,168196,830095,3.27,3.27,,,,0.0,0.0,7.8,1720248_830095
Live Heats,72452,1720248,168196,830095,3.6,3.6,,,,0.0,0.0,7.8,1720248_830095
