source,event_id,heat_id,eventDivisionId,athleteId,score,modified_total,modifier,type,counting,total_wave,total_jump,total_points
Live Heats,117331,1883664,247055,1585991,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,117331,1883664,247055,1076613,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,117331,1883664,247055,1076612,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,117331,1883664,247055,923495,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,117331,1883664,247055,1198581,13.0,13.0,,,True,0.0,0.0,13.0
Live Heats,117331,1883664,247055,1076615,13.0,13.0,,,True,0.0,0.0,13.0
Live Heats,117331,1883664,247055,1076618,13.0,13.0,,,True,0.0,0.0,13.0
Live Heats,117331,1883664,247055,923883,13.0,13.0,,,True,0.0,0.0,13.0
Live Heats,117331,1883664,247055,1076619,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,117331,1883664,247055,1076620,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,117331,1764509,247056,923345,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,117331,1764509,247056,923350,2.0,2.0,,,True,0.0,0.0,2.0
Live Heats,117331,1764509,247056,1205039,3.0,3.0,,,True,0.0,0.0,3.0
Live Heats,117331,1764509,247056,923348,4.0,4.0,,,True,0.0,0.0,4.0
Live Heats,117331,1764509,247056,923349,4.0,4.0,,,True,0.0,0.0,4.0
Live Heats,117331,1764541,290080,1207521,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,117331,1764541,290080,923335,2.0,2.0,,,True,0.0,0.0,2.0
Live Heats,117331,1764541,290080,1177773,3.0,3.0,,,True,0.0,0.0,3.0
Live Heats,117331,1764541,290080,1198918,4.0,4.0,,,True,0.0,0.0,4.0
Live Heats,117331,1764541,290080,923341,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,117331,1883663,293776,937046,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,117331,1883663,293776,937047,2.0,2.0,,,True,0.0,0.0,2.0
Live Heats,117331,1883663,293776,1166082,3.0,3.0,,,True,0.0,0.0,3.0
Live Heats,117331,1883663,293776,937048,4.0,4.0,,,True,0.0,0.0,4.0
Live Heats,117331,1883663,293776,937049,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,117331,1883663,293776,937050,6.0,6.0,,,True,0.0,0.0,6.0
Live Heats,117331,1883663,293776,1065416,7.0,7.0,,,True,0.0,0.0,7.0
Live Heats,117331,1883663,293776,1076610,7.0,7.0,,,True,0.0,0.0,7.0
Live Heats,117331,1883663,293776,1076611,7.0,7.0,,,True,0.0,0.0,7.0
Live Heats,117331,1883662,293777,1167311,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,117331,1883662,293777,937113,2.0,2.0,,,True,0.0,0.0,2.0
Live Heats,117331,1883662,293777,923887,3.0,3.0,,,True,0.0,0.0,3.0
Live Heats,117331,1883662,293777,923886,4.0,4.0,,,True,0.0,0.0,4.0
Live Heats,117331,1883662,293777,923888,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,117331,1883662,293777,937115,6.0,6.0,,,True,0.0,0.0,6.0
Live Heats,117331,1883662,293777,1076608,7.0,7.0,,,True,0.0,0.0,7.0
Live Heats,117331,1883662,293777,1076609,7.0,7.0,,,True,0.0,0.0,7.0
Live Heats,117331,1883662,293777,1076607,7.0,7.0,,,True,0.0,0.0,7.0
Live Heats,117331,1773021,293809,815441,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,117331,1773021,293809,937178,2.0,2.0,,,True,0.0,0.0,2.0
Live Heats,117331,1773021,293809,937179,3.0,3.0,,,True,0.0,0.0,3.0
Live Heats,72452,1720244,168196,818679,5.0,5.0,,,True,0.0,0.0,10.0
Live Heats,72452,1720244,168196,818679,5.0,5.0,,,True,0.0,0.0,10.0
Live Heats,72452,1720244,168196,1169635,5.0,5.0,,,True,0.0,0.0,10.0
Live Heats,72452,1720244,168196,1169635,5.0,5.0,,,True,0.0,0.0,10.0
Live Heats,72452,1720244,168196,814748,0.0,0.0,,,True,0.0,0.0,0.0
Live Heats,72452,1720244,168196,814748,0.0,0.0,,,True,0.0,0.0,0.0
Live Heats,72452,1720244,168196,814748,0.0,0.0,,,,0.0,0.0,0.0
Live Heats,72452,1720244,168196,814748,0.0,0.0,,,,0.0,0.0,0.0
Live Heats,72452,1720245,168196,843691,3.97,3.97,,,,0.0,0.0,12.7
Live Heats,72452,1720245,168196,843691,3.6,3.6,,,,0.0,0.0,12.7
Live Heats,72452,1720245,168196,843691,5.97,5.97,,,True,0.0,0.0,12.7
Live Heats,72452,1720245,168196,843691,6.73,6.73,,,True,0.0,0.0,12.7
Live Heats,72452,1720245,168196,843691,5.4,5.4,,,,0.0,0.0,12.7
Live Heats,72452,1720245,168196,843691,2.0,2.0,,,,0.0,0.0,12.7
Live Heats,72452,1720245,168196,845736,4.6,4.6,,,,0.0,0.0,11.030000000000001
Live Heats,72452,1720245,168196,845736,5.23,5.23,,,True,0.0,0.0,11.030000000000001
Live Heats,72452,1720245,168196,845736,5.8,5.8,,,True,0.0,0.0,11.030000000000001
Live Heats,72452,1720245,168196,845736,4.07,4.07,,,,0.0,0.0,11.030000000000001
Live Heats,72452,1720245,168196,527167,4.9,4.9,,,True,0.0,0.0,9.97
Live Heats,72452,1720245,168196,527167,5.07,5.07,,,True,0.0,0.0,9.97
Live Heats,72452,1720245,168196,818180,2.67,2.67,,,True,0.0,0.0,5.699999999999999
Live Heats,72452,1720245,168196,818180,3.03,3.03,,,True,0.0,0.0,5.699999999999999
Live Heats,72452,1720245,168196,818180,1.4,1.4,,,,0.0,0.0,5.699999999999999
Live Heats,72452,1720246,168196,847319,6.27,6.27,,,True,0.0,0.0,12.07
Live Heats,72452,1720246,168196,847319,5.27,5.27,,,,0.0,0.0,12.07
Live Heats,72452,1720246,168196,847319,5.8,5.8,,,True,0.0,0.0,12.07
Live Heats,72452,1720246,168196,847319,2.73,2.73,,,,0.0,0.0,12.07
Live Heats,72452,1720246,168196,847319,4.63,4.63,,,,0.0,0.0,12.07
Live Heats,72452,1720246,168196,847319,1.0,1.0,,,,0.0,0.0,12.07
Live Heats,72452,1720246,168196,817982,5.1,5.1,,,True,0.0,0.0,10.399999999999999
Live Heats,72452,1720246,168196,817982,3.2,3.2,,,,0.0,0.0,10.399999999999999
Live Heats,72452,1720246,168196,817982,5.3,5.3,,,True,0.0,0.0,10.399999999999999
Live Heats,72452,1720246,168196,820094,3.9,3.9,,,,0.0,0.0,8.8
Live Heats,72452,1720246,168196,820094,3.57,3.57,,,,0.0,0.0,8.8
Live Heats,72452,1720246,168196,820094,4.37,4.37,,,True,0.0,0.0,8.8
Live Heats,72452,1720246,168196,820094,3.23,3.23,,,,0.0,0.0,8.8
Live Heats,72452,1720246,168196,820094,4.43,4.43,,,True,0.0,0.0,8.8
Live Heats,72452,1720246,168196,820094,2.0,2.0,,,,0.0,0.0,8.8
Live Heats,72452,1720246,168196,838673,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,72452,1720247,168196,817949,6.27,6.27,,,,0.0,0.0,14.8
Live Heats,72452,1720247,168196,817949,7.57,7.57,,,True,0.0,0.0,14.8
Live Heats,72452,1720247,168196,817949,7.23,7.23,,,True,0.0,0.0,14.8
Live Heats,72452,1720247,168196,817949,6.9,6.9,,,,0.0,0.0,14.8
Live Heats,72452,1720247,168196,1165941,4.83,4.83,,,,0.0,0.0,13.739999999999998
Live Heats,72452,1720247,168196,1165941,6.77,6.77,,,True,0.0,0.0,13.739999999999998
Live Heats,72452,1720247,168196,1165941,5.7,5.7,,,,0.0,0.0,13.739999999999998
Live Heats,72452,1720247,168196,1165941,6.2,6.2,,,,0.0,0.0,13.739999999999998
Live Heats,72452,1720247,168196,1165941,6.97,6.97,,,True,0.0,0.0,13.739999999999998
Live Heats,72452,1720247,168196,1165941,5.17,5.17,,,,0.0,0.0,13.739999999999998
Live Heats,72452,1720247,168196,1165941,5.47,5.47,,,,0.0,0.0,13.739999999999998
Live Heats,72452,1720247,168196,1578513,3.9,3.9,,,,0.0,0.0,8.77
Live Heats,72452,1720247,168196,1578513,4.27,4.27,,,True,0.0,0.0,8.77
Live Heats,72452,1720247,168196,1578513,2.93,2.93,,,,0.0,0.0,8.77
Live Heats,72452,1720247,168196,1578513,4.5,4.5,,,True,0.0,0.0,8.77
Live Heats,72452,1720247,168196,1578513,3.17,3.17,,,,0.0,0.0,8.77
Live Heats,72452,1720247,168196,856823,0.0,0.0,,,True,0.0,0.0,0.0
Live Heats,72452,1720248,168196,1334796,4.8,4.8,,,,0.0,0.0,13.86
Live Heats,72452,1720248,168196,1334796,5.53,5.53,,,,0.0,0.0,13.86
Live Heats,72452,1720248,168196,1334796,7.63,7.63,,,True,0.0,0.0,13.86
Live Heats,72452,1720248,168196,1334796,6.23,6.23,,,True,0.0,0.0,13.86
Live Heats,72452,1720248,168196,843557,4.1,4.1,,,,0.0,0.0,10.33
Live Heats,72452,1720248,168196,843557,5.33,5.33,,,True,0.0,0.0,10.33
Live Heats,72452,1720248,168196,843557,5.0,5.0,,,True,0.0,0.0,10.33
Live Heats,72452,1720248,168196,843557,4.63,4.63,,,,0.0,0.0,10.33
Live Heats,72452,1720248,168196,843557,5.0,5.0,,,,0.0,0.0,10.33
Live Heats,72452,1720248,168196,830753,3.37,3.37,,,,0.0,0.0,9.04
Live Heats,72452,1720248,168196,830753,3.87,3.87,,,True,0.0,0.0,9.04
Live Heats,72452,1720248,168196,830753,2.0,2.0,,,,0.0,0.0,9.04
Live Heats,72452,1720248,168196,830753,3.7,3.7,,,,0.0,0.0,9.04
Live Heats,72452,1720248,168196,830753,3.53,3.53,,,,0.0,0.0,9.04
Live Heats,72452,1720248,168196,830753,3.83,3.83,,,,0.0,0.0,9.04
Live Heats,72452,1720248,168196,830753,5.17,5.17,,,True,0.0,0.0,9.04
Live Heats,72452,1720248,168196,830095,2.93,2.93,,,,0.0,0.0,7.8
Live Heats,72452,1720248,168196,830095,3.27,3.27,,,,0.0,0.0,7.8
Live Heats,72452,1720248,168196,830095,3.6,3.6,,,,0.0,0.0,7.8
Live Heats,72452,1720248,168196,830095,3.9,3.9,,,True,0.0,0.0,7.8
Live Heats,72452,1720248,168196,830095,3.9,3.9,,,True,0.0,0.0,7.8
Live Heats,72452,1720249,168196,837486,4.93,4.93,,,,0.0,0.0,12.66
Live Heats,72452,1720249,168196,837486,4.63,4.63,,,,0.0,0.0,12.66
Live Heats,72452,1720249,168196,837486,5.17,5.17,,,,0.0,0.0,12.66
Live Heats,72452,1720249,168196,837486,6.63,6.63,,,True,0.0,0.0,12.66
Live Heats,72452,1720249,168196,837486,4.27,4.27,,,,0.0,0.0,12.66
Live Heats,72452,1720249,168196,837486,3.83,3.83,,,,0.0,0.0,12.66
Live Heats,72452,1720249,168196,837486,6.03,6.03,,,True,0.0,0.0,12.66
Live Heats,72452,1720249,168196,837486,1.0,1.0,,,,0.0,0.0,12.66
Live Heats,72452,1720249,168196,817916,5.07,5.07,,,True,0.0,0.0,10.3
Live Heats,72452,1720249,168196,817916,1.57,1.57,,,,0.0,0.0,10.3
Live Heats,72452,1720249,168196,817916,5.23,5.23,,,True,0.0,0.0,10.3
Live Heats,72452,1720249,168196,817916,1.3,1.3,,,,0.0,0.0,10.3
Live Heats,72452,1720249,168196,817916,4.57,4.57,,,,0.0,0.0,10.3
Live Heats,72452,1720249,168196,817916,4.43,4.43,,,,0.0,0.0,10.3
Live Heats,72452,1720249,168196,834611,2.27,2.27,,,True,0.0,0.0,5.27
Live Heats,72452,1720249,168196,834611,3.0,3.0,,,True,0.0,0.0,5.27
Live Heats,72452,1720250,168196,819666,3.8,3.8,,,,0.0,0.0,12.1
Live Heats,72452,1720250,168196,819666,6.43,6.43,,,True,0.0,0.0,12.1
Live Heats,72452,1720250,168196,819666,5.67,5.67,,,True,0.0,0.0,12.1
Live Heats,72452,1720250,168196,822932,2.0,2.0,,,,0.0,0.0,10.67
Live Heats,72452,1720250,168196,822932,4.5,4.5,,,True,0.0,0.0,10.67
Live Heats,72452,1720250,168196,822932,6.17,6.17,,,True,0.0,0.0,10.67
Live Heats,72452,1720250,168196,822932,3.8,3.8,,,,0.0,0.0,10.67
Live Heats,72452,1720250,168196,527155,3.7,3.7,,,,0.0,0.0,9.44
Live Heats,72452,1720250,168196,527155,5.67,5.67,,,True,0.0,0.0,9.44
Live Heats,72452,1720250,168196,527155,2.33,2.33,,,,0.0,0.0,9.44
Live Heats,72452,1720250,168196,527155,3.77,3.77,,,True,0.0,0.0,9.44
Live Heats,72452,1720250,168196,842633,4.57,4.57,,,True,0.0,0.0,8.040000000000001
Live Heats,72452,1720250,168196,842633,1.53,1.53,,,,0.0,0.0,8.040000000000001
Live Heats,72452,1720250,168196,842633,3.17,3.17,,,,0.0,0.0,8.040000000000001
Live Heats,72452,1720250,168196,842633,3.47,3.47,,,True,0.0,0.0,8.040000000000001
Live Heats,72452,1720250,168196,842633,3.03,3.03,,,,0.0,0.0,8.040000000000001
Live Heats,72452,1720251,168196,818279,5.47,5.47,,,,0.0,0.0,13.8
Live Heats,72452,1720251,168196,818279,7.07,7.07,,,True,0.0,0.0,13.8
Live Heats,72452,1720251,168196,818279,6.6,6.6,,,,0.0,0.0,13.8
Live Heats,72452,1720251,168196,818279,6.73,6.73,,,True,0.0,0.0,13.8
Live Heats,72452,1720251,168196,818279,4.53,4.53,,,,0.0,0.0,13.8
Live Heats,72452,1720251,168196,818279,5.9,5.9,,,,0.0,0.0,13.8
Live Heats,72452,1720251,168196,835109,3.83,3.83,,,,0.0,0.0,11.3
Live Heats,72452,1720251,168196,835109,5.8,5.8,,,True,0.0,0.0,11.3
Live Heats,72452,1720251,168196,835109,3.33,3.33,,,,0.0,0.0,11.3
Live Heats,72452,1720251,168196,835109,4.6,4.6,,,,0.0,0.0,11.3
Live Heats,72452,1720251,168196,835109,5.5,5.5,,,True,0.0,0.0,11.3
Live Heats,72452,1720251,168196,1200826,4.73,4.73,,,,0.0,0.0,10.23
