name,age,nationality,sail_no,pwa_url,current_sponsors,pwa_yob
Tomohiko Suzuki,52.0,Japanese ,J-85,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=908&cHash=5ee8b692e236bc7c9f0ac823c24608d1,"Fanatic, S2Maui, ION",1973.0
Ayako Suzuki,51.0,Japanese ,JPN-61,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=915&cHash=c6aa47a4e35c87c4e54d47e8c18c2a7f,"Tabou Boards, GA Sails, Breaker Out, Manaolapule, Mystic, Art Field",1974.0
Satomi JPN-498 Suzuki,,Japanese ,JPN-498,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2039&cHash=0c962e4975016c86b59b629fb685d559,,
Satomi JPN-3103 Suzuki,,Japanese ,JPN-3103,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2043&cHash=8d3e1de8a12c1231b062ca26299723c0,,
Sasa Svalina,,Croatian ,CRO-18,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1938&cHash=4d05c94f68ea721ee9ddfe1647875214,,
Oda Sverre,21.0,Norwegian ,NOR-126,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1907&cHash=8bfa55ef9d5b4ce23cad1709b6381fd7,"Starboard, Severne Windsurfing",2004.0
Svikova Svikova,24.0,Andorran ,CZE-89,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2150&cHash=234adda807451498c96d5532a8b8f952,,2001.0
Robby Swift,40.0,British ,K-89,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=22&cHash=87388326ada22cd808b38d66a1813bef,"JP Australia, NeilPryde, Chilean Waves, SWOX, Mystic, Tectonics",1985.0
Sara Szentivanyi,27.0,Hungarian ,HUN-55,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2141&cHash=732fb1ec6ec4dfccdade8e8e57e5f5ef,,1998.0
Julien Taboulet,45.0,French ,F-100,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=35&cHash=62bdbabaa1eac83c4b43915506371c70,"Goya Windsurfing, MFC, Matahi Energy Juice, Leucate, All-in Sport Beach Company, Sosh, Quiksilver, Un coq dans le transat",1980.0
Wataru Tajima,24.0,Commonwealth of the Northern Mariana Islands ,JPN-75,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1777&cHash=708588b018a46d3bfa1ee7e63c2e90b6,,2001.0
Huig Jan Tak,30.0,Dutch ,NED-465,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1978&cHash=fff7a0da2c5476a87eafeb91d88f6378,"Phantom Boards, Phantom Sails",1995.0
Megumi Takasa,,Japanese ,J-62,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2071&cHash=d97f5d7f2dd3931da53f7276cbe26c43,,
Gakushi Takeda,26.0,Japanese ,JPN-562,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2139&cHash=a2cd24f531fc38ebc1c30a0b1af24003,"Patrik Boards, Loftsails",1999.0
