source,event_id,eventDivisionid,name,athleteId,place,Points,incomplete
PWA,338,918,Julien Flechet,F-67,33,1005,False
PWA,338,918,Titouan Flechet,F-47,33,1005,False
PWA,338,918,Samuele Ferraro,I-505,33,1005,False
PWA,338,918,Marc Alonso,E-0,33,1005,False
PWA,338,918,Jahdan Tyger,BR-44,33,1005,False
PWA,338,918,Nick Spangenberg,G-141,33,1005,False
PWA,338,918,Alexandre Grand-Guillot,F-585,33,1005,False
PWA,338,918,Ryu Noguchi,J-39,33,1005,False
PWA,338,918,Corto Dumond,NC-26,33,1005,False
PWA,338,918,Guillermo Alba Lasheras,E-68,33,1005,False
PWA,338,918,Laurin Schmuth,G-878,33,1005,False
PWA,338,918,Yushi Shirakata,JPN-136,33,1005,False
PWA,338,919,Daida Ruano Moreno,E-64,1,10000,False
PWA,338,919,Sarah-Quita Offringa,ARU-91,2,8500,False
PWA,338,919,Lina Erpenstein,G-3,3,7650,False
PWA,338,919,Iballa Ruano Moreno,E-63,4,6885,False
PWA,338,919,Justyna Sniady,POL-1111,5,6370,False
PWA,338,919,Alexia Kiefer Quintana,E-59,6,5930,False
PWA,338,919,Isabel Trivino Delgado,E-286,7,5285,False
PWA,338,919,Sol Degrieck,B-5,7,5285,False
PWA,338,919,Maria Morales Navarro,E-737,9,4476,False
PWA,338,919,Coraline Foveau,F-351,9,4476,False
PWA,338,919,Lisa Wermeister,F-293,9,4476,False
PWA,338,919,Pauline Katz,SUI-678,9,4476,False
PWA,338,919,Marine Hunter,FRA-181,13,3645,False
PWA,338,919,Julia Pasquale,E-229,13,3645,False
PWA,338,919,Maria Behrens,G-209,13,3645,False
PWA,338,919,Lucia Trivino Delgado,E-528,13,3645,False
PWA,338,919,Milanka Linde,G-1316,17,3200,False
PWA,342,928,Julian Salmonn,G-21,1,4061,True
PWA,342,928,Robby Swift,K-89,1,4061,True
PWA,342,928,Adam Warchol,POL-111,1,4061,True
PWA,342,928,Alessio Stillrich,E-95,1,4061,True
PWA,342,928,Ricardo Campello,V-111,1,4061,True
PWA,342,928,Morgan Noireaux,HI-101,1,4061,True
PWA,342,928,Alexandre Grand-Guillot,F-585,1,4061,True
PWA,342,928,Marcilio Browne,BRA-105,1,4061,True
PWA,342,928,Liam Dunkerbeck Morales,E-11,1,4061,True
PWA,342,928,Leon Jamaer,G-208,1,4061,True
PWA,342,928,Marc Paré,E-334,1,4061,True
PWA,342,928,Thomas Traversa,F-3,1,4061,True
PWA,342,928,Antoine Albert,NC-21,1,4061,True
PWA,342,928,Victor Fernandez,E-42,1,4061,True
PWA,342,928,Jules Denel,FRA-41,1,4061,True
PWA,342,928,Takuma Sugi,J-7,1,4061,True
PWA,342,928,Corto Dumond,NC-26,17,2238,True
PWA,342,928,Laurin Schmuth,G-878,17,2238,True
PWA,342,928,Henri Kolberg,G-45,17,2238,True
PWA,342,928,Dieter Van der Eyken,B-35,17,2238,True
PWA,342,928,Antony Ruenes,F-85,17,2238,True
PWA,342,928,Simon Thule,DEN-134,17,2238,True
PWA,342,928,Nick Spangenberg,G-141,17,2238,True
PWA,342,928,Graham Ezzy,USA-1,17,2238,True
PWA,342,928,Miguel Chapuis,E-99,17,2238,True
PWA,342,928,Adrien Bosson,F-296,17,2238,True
PWA,342,928,Nicolas Akgazciyan,F-400,17,2238,True
PWA,342,928,Antoine Martin,F-193,17,2238,True
PWA,342,928,Marino Gil Gherardi,E-959,17,2238,True
PWA,342,928,Arthur Arutkin,F-7,17,2238,True
PWA,342,928,Federico Morisio,I-676,17,2238,True
PWA,342,928,Michael Friedl Morales,E-255,17,2238,True
PWA,342,929,Marine Hunter,FRA-181,1,10000,False
PWA,342,929,Maria Behrens,G-209,2,8500,False
PWA,342,929,Sarah-Quita Offringa,ARU-91,3,7650,False
PWA,342,929,Justyna Sniady,POL-1111,4,6885,False
PWA,342,929,Sybille Bode,G-132,5,5718,False
PWA,342,929,Sol Degrieck,B-5,5,5718,False
PWA,342,929,Line Bang Wittrup,D-82,5,5718,False
PWA,342,929,Lina Erpenstein,G-3,5,5718,False
PWA,342,929,Caroline Weber,G-118,9,4825,False
PWA,328,886,Philip Köster,G-44,1,10000,False
PWA,328,886,Marcilio Browne,BRA-105,2,8500,False
PWA,328,886,Victor Fernandez,E-42,3,7650,False
PWA,328,886,Ricardo Campello,V-111,4,6885,False
PWA,328,886,Thomas Traversa,F-3,5,6370,False
PWA,328,886,Marino Gil Gherardi,E-959,6,5930,False
PWA,328,886,Liam Dunkerbeck Morales,E-11,7,5285,False
PWA,328,886,Marc Paré,E-334,7,5285,False
PWA,328,886,Robby Swift,K-89,9,4476,False
