,event_id,event_name,results_status,day_window,start_date,finish_date,location,stars,division_id,division_name,sex,event_link,source,elimination_name,elimination_id,standard_event_name,year,elimination_type
86,181652,HAWAII: 5 STAR Maui Strong Aloha Classic Grand Final,Results Published,13,2023-10-22,2023-11-04,Hawaii,5.0,343317,Masters,,https://liveheats.com/events/181652,live heats,Masters,343317,Maui Strong Aloha Classic Grand Final,2023,
87,147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-02-05,Australia,2.0,290222,Men,Men,https://liveheats.com/events/147592,live heats,Men,290222,North Windsurfing East Coast Titles. Sydney,2024,
88,147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-02-05,Australia,2.0,290223,Women,Women,https://liveheats.com/events/147592,live heats,Women,290223,North Windsurfing East Coast Titles. Sydney,2024,
89,147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-02-05,Australia,2.0,290225,Masters,,https://liveheats.com/events/147592,live heats,Masters,290225,North Windsurfing East Coast Titles. Sydney,2024,
90,147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-02-05,Australia,2.0,290226,Open AM,,https://liveheats.com/events/147592,live heats,Open AM,290226,North Windsurfing East Coast Titles. Sydney,2024,
91,187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,2024-10-18,Scotland,3.0,353317,Men,Men,https://liveheats.com/events/187570,live heats,Men,353317,Tiree Wave Classic,2024,
92,187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,2024-10-18,Scotland,3.0,353318,Women,Women,https://liveheats.com/events/187570,live heats,Women,353318,Tiree Wave Classic,2024,
93,187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,2024-10-18,Scotland,3.0,353319,Junior Boys,Men,https://liveheats.com/events/187570,live heats,Junior Boys,353319,Tiree Wave Classic,2024,
94,187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,2024-10-18,Scotland,3.0,353320,Masters,,https://liveheats.com/events/187570,live heats,Masters,353320,Tiree Wave Classic,2024,
95,187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,2024-10-18,Scotland,3.0,353321,Junior Girls,Women,https://liveheats.com/events/187570,live heats,Junior Girls,353321,Tiree Wave Classic,2024,
96,118319,CHILE: 4 STAR SURAZO Infernal - Women,Results Published,9,2023-03-25,2023-04-03,Chile,4.0,248203,Women,Women,https://liveheats.com/events/118319,live heats,Women,248203,SURAZO Infernal - Women,2023,
97,117362,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - OPEN PRO,Results Published,6,2023-03-16,2023-03-22,Japan,5.0,247081,Men,Men,https://liveheats.com/events/117362,live heats,Men,247081,SPICARE Omaezaki Japan Cup - OPEN PRO,2023,
98,117362,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - OPEN PRO,Results Published,6,2023-03-16,2023-03-22,Japan,5.0,247082,Women,Women,https://liveheats.com/events/117362,live heats,Women,247082,SPICARE Omaezaki Japan Cup - OPEN PRO,2023,
99,117362,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - OPEN PRO,Results Published,6,2023-03-16,2023-03-22,Japan,5.0,247083,Junior Boys,Men,https://liveheats.com/events/117362,live heats,Junior Boys,247083,SPICARE Omaezaki Japan Cup - OPEN PRO,2023,
100,117362,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - OPEN PRO,Results Published,6,2023-03-16,2023-03-22,Japan,5.0,247084,Masters,,https://liveheats.com/events/117362,live heats,Masters,247084,SPICARE Omaezaki Japan Cup - OPEN PRO,2023,
101,118385,CHILE: 4 STAR SURAZO Infernal - Masters & Youth,Results Published,9,2023-03-25,2023-04-03,Chile,4.0,248368,Masters,,https://liveheats.com/events/118385,live heats,Masters,248368,SURAZO Infernal - Masters & Youth,2023,
102,118385,CHILE: 4 STAR SURAZO Infernal - Masters & Youth,Results Published,9,2023-03-25,2023-04-03,Chile,4.0,248369,Junior Boys,Men,https://liveheats.com/events/118385,live heats,Junior Boys,248369,SURAZO Infernal - Masters & Youth,2023,
