,event_id,event_name,results_status,day_window,start_date,finish_date,location,stars,elimination_id,event_link,division_id,source,year,elimination_name,division_name,sex,standard_event_name
100,118715,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,Results Published,6,2023-03-16,,Japan,5.0,248732,,248732,live heats,2023.0,Junior Boys,Junior Boys,Men,Japan World Cup
101,118715,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,Results Published,6,2023-03-16,,Japan,5.0,248733,,248733,live heats,2023.0,Masters,Masters,,Japan World Cup
102,118715,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,Results Published,6,2023-03-16,,Japan,5.0,253879,,253879,live heats,2023.0,U15 Girls,U15 Girls,Women,Japan World Cup
103,118715,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,Results Published,6,2023-03-16,,Japan,5.0,253880,,253880,live heats,2023.0,U15 Boys,U15 Boys,Men,Japan World Cup
104,147591,Australia: 2 STAR Severne Wavesailing Nationals,Results Published,9,2023-11-11,,Australia,2.0,290217,,290217,live heats,2023.0,Men,Men,Men,Severne Wavesailing Nationals
105,147591,Australia: 2 STAR Severne Wavesailing Nationals,Results Published,9,2023-11-11,,Australia,2.0,290218,,290218,live heats,2023.0,Women,Women,Women,Severne Wavesailing Nationals
106,147591,Australia: 2 STAR Severne Wavesailing Nationals,Results Published,9,2023-11-11,,Australia,2.0,290219,,290219,live heats,2023.0,Junior Boys,Junior Boys,Men,Severne Wavesailing Nationals
107,147591,Australia: 2 STAR Severne Wavesailing Nationals,Results Published,9,2023-11-11,,Australia,2.0,290220,,290220,live heats,2023.0,Masters,Masters,,Severne Wavesailing Nationals
108,147591,Australia: 2 STAR Severne Wavesailing Nationals,Results Published,9,2023-11-11,,Australia,2.0,316788,,316788,live heats,2023.0,Junior Girls,Junior Girls,Women,Severne Wavesailing Nationals
109,187563,CHILE: 5 STAR Surazo Infernal World Cup,Results Published,12,2024-03-31,2024-12-04,Chile,5.0,353294,,353294,live heats,2024.0,Women,Women,Women,Chile World Cup
110,187563,CHILE: 5 STAR Surazo Infernal World Cup,Results Published,12,2024-03-31,2024-12-04,Chile,5.0,353295,,353295,live heats,2024.0,Men,Men,Men,Chile World Cup
111,187563,CHILE: 5 STAR Surazo Infernal World Cup,Results Published,12,2024-03-31,2024-12-04,Chile,5.0,353296,,353296,live heats,2024.0,Masters,Masters,,Chile World Cup
112,187563,CHILE: 5 STAR Surazo Infernal World Cup,Results Published,12,2024-03-31,2024-12-04,Chile,5.0,402097,,402097,live heats,2024.0,Pro Junior GIrls,Pro Junior GIrls,Women,Chile World Cup
113,187563,CHILE: 5 STAR Surazo Infernal World Cup,Results Published,12,2024-03-31,2024-12-04,Chile,5.0,353297,,353297,live heats,2024.0,Junior Girls,Junior Girls,Women,Chile World Cup
114,187563,CHILE: 5 STAR Surazo Infernal World Cup,Results Published,12,2024-03-31,2024-12-04,Chile,5.0,402098,,402098,live heats,2024.0,Pro Junior Boys,Pro Junior Boys,Men,Chile World Cup
115,187563,CHILE: 5 STAR Surazo Infernal World Cup,Results Published,12,2024-03-31,2024-12-04,Chile,5.0,353298,,353298,live heats,2024.0,Junior Boys,Junior Boys,Men,Chile World Cup
116,187563,CHILE: 5 STAR Surazo Infernal World Cup,Results Published,12,2024-03-31,2024-12-04,Chile,5.0,407963,,407963,live heats,2024.0,Open AM,Open AM,,Chile World Cup
117,350012,Ireland: 2 STAR Magheroarty Classic,Scheduled,3,2025-08-08,2025-11-08,Ireland,2.0,637801,,637801,live heats,2025.0,Women,Women,Women,Magheroarty Classic
118,350012,Ireland: 2 STAR Magheroarty Classic,Scheduled,3,2025-08-08,2025-11-08,Ireland,2.0,637802,,637802,live heats,2025.0,Men,Men,Men,Magheroarty Classic
119,350012,Ireland: 2 STAR Magheroarty Classic,Scheduled,3,2025-08-08,2025-11-08,Ireland,2.0,637803,,637803,live heats,2025.0,Masters,Masters,,Magheroarty Classic
120,350012,Ireland: 2 STAR Magheroarty Classic,Scheduled,3,2025-08-08,2025-11-08,Ireland,2.0,637804,,637804,live heats,2025.0,Pro Junior GIrls,Pro Junior GIrls,Women,Magheroarty Classic
121,350012,Ireland: 2 STAR Magheroarty Classic,Scheduled,3,2025-08-08,2025-11-08,Ireland,2.0,637805,,637805,live heats,2025.0,Pro Junior Boys,Pro Junior Boys,Men,Magheroarty Classic
122,350012,Ireland: 2 STAR Magheroarty Classic,Scheduled,3,2025-08-08,2025-11-08,Ireland,2.0,637806,,637806,live heats,2025.0,Junior Girls,Junior Girls,Women,Magheroarty Classic
123,350012,Ireland: 2 STAR Magheroarty Classic,Scheduled,3,2025-08-08,2025-11-08,Ireland,2.0,637807,,637807,live heats,2025.0,Junior Boys,Junior Boys,Men,Magheroarty Classic
124,350012,Ireland: 2 STAR Magheroarty Classic,Scheduled,3,2025-08-08,2025-11-08,Ireland,2.0,637808,,637808,live heats,2025.0,OPEN,OPEN,,Magheroarty Classic
125,322589,Japan: 2 STAR JWA Junior Wave ,Results Published,3,2024-12-26,,Japan,2.0,586057,,586057,live heats,2024.0,Pro Junior Boys,Pro Junior Boys,Men,JWA Junior Wave
126,322589,Japan: 2 STAR JWA Junior Wave ,Results Published,3,2024-12-26,,Japan,2.0,586058,,586058,live heats,2024.0,Pro Junior GIrls,Pro Junior GIrls,Women,JWA Junior Wave
127,322589,Japan: 2 STAR JWA Junior Wave ,Results Published,3,2024-12-26,,Japan,2.0,586059,,586059,live heats,2024.0,Junior Boys,Junior Boys,Men,JWA Junior Wave
128,322589,Japan: 2 STAR JWA Junior Wave ,Results Published,3,2024-12-26,,Japan,2.0,586060,,586060,live heats,2024.0,Junior Girls,Junior Girls,Women,JWA Junior Wave
129,322589,Japan: 2 STAR JWA Junior Wave ,Results Published,3,2024-12-26,,Japan,2.0,586061,,586061,live heats,2024.0,U15,U15,,JWA Junior Wave
130,72487,Australia: 2 STAR Sydney Classic,Results Published,3,2022-12-10,,Australia,2.0,168245,,168245,live heats,2022.0,Men,Men,Men,Sydney Classic
131,72487,Australia: 2 STAR Sydney Classic,Results Published,3,2022-12-10,,Australia,2.0,168246,,168246,live heats,2022.0,Women,Women,Women,Sydney Classic
132,72487,Australia: 2 STAR Sydney Classic,Results Published,3,2022-12-10,,Australia,2.0,168247,,168247,live heats,2022.0,Junior Boys,Junior Boys,Men,Sydney Classic
133,72487,Australia: 2 STAR Sydney Classic,Results Published,3,2022-12-10,,Australia,2.0,168248,,168248,live heats,2022.0,Masters,Masters,,Sydney Classic
134,72487,Australia: 2 STAR Sydney Classic,Results Published,3,2022-12-10,,Australia,2.0,293481,,293481,live heats,2022.0,Junior Girls,Junior Girls,Women,Sydney Classic
