,source,event_id,heat_id,division_id,athlete_id,score,modified_total,modifier,type,counting,total_wave,total_jump,total_points,heat_id_athlete_id
156,Live Heats,117331,1883664,247055,1076613,9.0,9.0,,,True,0.0,0.0,9.0,1883664_1076613
157,Live Heats,117331,1883664,247055,1076612,9.0,9.0,,,True,0.0,0.0,9.0,1883664_1076612
158,Live Heats,117331,1883664,247055,923495,9.0,9.0,,,True,0.0,0.0,9.0,1883664_923495
159,Live Heats,117331,1883664,247055,1198581,13.0,13.0,,,True,0.0,0.0,13.0,1883664_1198581
160,Live Heats,117331,1883664,247055,1076615,13.0,13.0,,,True,0.0,0.0,13.0,1883664_1076615
161,Live Heats,117331,1883664,247055,1076618,13.0,13.0,,,True,0.0,0.0,13.0,1883664_1076618
162,Live Heats,117331,1883664,247055,923883,13.0,13.0,,,True,0.0,0.0,13.0,1883664_923883
163,Live Heats,117331,1883664,247055,1076619,17.0,17.0,,,True,0.0,0.0,17.0,1883664_1076619
164,Live Heats,117331,1883664,247055,1076620,17.0,17.0,,,True,0.0,0.0,17.0,1883664_1076620
165,Live Heats,117331,1764509,247056,923345,1.0,1.0,,,True,0.0,0.0,1.0,1764509_923345
166,Live Heats,117331,1764509,247056,923350,2.0,2.0,,,True,0.0,0.0,2.0,1764509_923350
167,Live Heats,117331,1764509,247056,1205039,3.0,3.0,,,True,0.0,0.0,3.0,1764509_1205039
168,Live Heats,117331,1764509,247056,923348,4.0,4.0,,,True,0.0,0.0,4.0,1764509_923348
169,Live Heats,117331,1764509,247056,923349,4.0,4.0,,,True,0.0,0.0,4.0,1764509_923349
170,Live Heats,117331,1764541,290080,1207521,1.0,1.0,,,True,0.0,0.0,1.0,1764541_1207521
171,Live Heats,117331,1764541,290080,923335,2.0,2.0,,,True,0.0,0.0,2.0,1764541_923335
172,Live Heats,117331,1764541,290080,1177773,3.0,3.0,,,True,0.0,0.0,3.0,1764541_1177773
173,Live Heats,117331,1764541,290080,1198918,4.0,4.0,,,True,0.0,0.0,4.0,1764541_1198918
174,Live Heats,117331,1764541,290080,923341,5.0,5.0,,,True,0.0,0.0,5.0,1764541_923341
