,results_status,event_id,event_name,division_name,day_window,division_rank_name,division_rank_id,stars,event_link,sex,start_date,location,division_id,finish_date
38,Completed events,266,Tenerife,Mens 2017 Tenerife Mens Wave elimination double elimination,6,Wave Men,722,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=266&cHash=ca589f52071d421a8009ccfa63d5b240,Men,2017-08-06,,360,2017-08-12
39,Completed events,266,Tenerife,Mens 2017 Tenerife Mens Wave elimination,6,Wave Men,722,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=266&cHash=ca589f52071d421a8009ccfa63d5b240,Men,2017-08-06,,356,2017-08-12
40,Completed events,268,Mercedes-Benz World Cup Sylt,Mens 2017 Mercedes-Benz World Cup Sylt Mens Wave elimination double elimination,9,Wave Men,726,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=268&cHash=8100ba3a663cdc201537b161dac23c34,Men,2017-09-29,,385,2017-10-08
41,Completed events,268,Mercedes-Benz World Cup Sylt,Mens 2017 Mercedes-Benz World Cup Sylt Mens Wave elimination,9,Wave Men,726,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=268&cHash=8100ba3a663cdc201537b161dac23c34,Men,2017-09-29,,375,2017-10-08
42,Completed events,250,"Pozo Izquierdo, Gran Canaria",Mens Gran Canaria Mens Wave elimination double elimination,6,Wave Men,689,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=250&cHash=7ed612ace28a6a0e2b122a6e45682438,Men,2016-07-03,,265,2016-07-09
43,Completed events,250,"Pozo Izquierdo, Gran Canaria",Mens Gran Canaria Mens Wave elimination,6,Wave Men,689,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=250&cHash=7ed612ace28a6a0e2b122a6e45682438,Men,2016-07-03,,263,2016-07-09
44,Completed events,252,"El Medano, Tenerife",Mens Tenerife Mens Wave elimination double elimination,6,Wave Men,694,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=252&cHash=22b72835d905a72357024a204012c1dd,Men,2016-08-01,,287,2016-08-07
45,Completed events,252,"El Medano, Tenerife",Mens Tenerife Mens Wave elimination,6,Wave Men,694,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=252&cHash=22b72835d905a72357024a204012c1dd,Men,2016-08-01,,285,2016-08-07
46,Completed events,256,Mercedes-Benz World Cup Sylt,Mens Sylt Mens Wave elimination,9,Wave Men,702,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=256&cHash=e665ec90d2ac3822cac4d3b214b2d1a3,Men,2016-09-30,,297,2016-10-09
47,Completed events,256,Mercedes-Benz World Cup Sylt,Mens Sylt Mens Wave elimination double elimination,9,Wave Men,702,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=256&cHash=e665ec90d2ac3822cac4d3b214b2d1a3,Men,2016-09-30,,299,2016-10-09
48,Completed events,258,NoveNove Maui Aloha Classic,Mens Maui Mens Wave elimination double elimination,13,Wave Men,709,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=258&cHash=7c8a99dcdb6f596f416e923c85626935,Men,2016-10-31,,314,2016-11-13
49,Completed events,258,NoveNove Maui Aloha Classic,Mens Maui Mens Wave elimination,13,Wave Men,709,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=258&cHash=7c8a99dcdb6f596f416e923c85626935,Men,2016-10-31,,312,2016-11-13
