,source,event_id,division_id,athlete_id,place,incomplete,name
1416,Live Heats,165509,390433,1180451,2,False,
1417,Live Heats,165509,390433,1180452,3,False,
1418,Live Heats,165509,390433,1218140,4,False,
1419,Live Heats,165509,390433,1180453,5,False,
1420,Live Heats,165509,390433,1165484,10,False,
1421,Live Heats,165509,316793,1180458,1,False,
1422,Live Heats,165509,316793,1180457,2,False,
1423,Live Heats,165509,316793,1180463,3,False,
1424,Live Heats,165509,316793,1180461,4,False,
1425,Live Heats,165509,316793,1165484,5,False,
1426,Live Heats,165509,316793,1218141,6,False,
1427,Live Heats,165509,316793,1180456,6,False,
1428,Live Heats,165509,316793,1180459,8,False,
1429,Live Heats,165509,316793,1180462,9,False,
1430,Live Heats,165509,316793,1180460,10,False,
1431,Live Heats,165509,316793,1180465,11,False,
1432,Live Heats,165509,316793,1165473,16,False,
1433,Live Heats,165509,316793,1180464,16,False,
1434,Live Heats,165509,316793,1165472,16,False,
1435,Live Heats,165509,316793,1180455,16,False,
1436,Live Heats,72454,168205,1334796,1,False,
1437,Live Heats,72454,168205,527155,2,False,
1438,Live Heats,72454,168205,819666,3,False,
1439,Live Heats,72454,168205,844750,4,False,
1440,Live Heats,72454,168205,1200826,5,False,
1441,Live Heats,72454,168205,817949,5,False,
1442,Live Heats,72454,168205,817916,7,False,
1443,Live Heats,72454,168205,835109,7,False,
1444,Live Heats,72454,168205,1578513,9,False,
1445,Live Heats,72454,168205,847319,9,False,
1446,Live Heats,72454,168205,566295,9,False,
1447,Live Heats,72454,168205,1165941,9,False,
1448,Live Heats,72454,168205,1205557,13,False,
1449,Live Heats,72454,168205,843691,13,False,
1450,Live Heats,72454,168205,1408086,13,False,
1451,Live Heats,72454,168205,527167,13,False,
1452,Live Heats,72454,168205,1169471,17,False,
1453,Live Heats,72454,168205,1166233,17,False,
1454,Live Heats,72454,168205,1437356,17,False,
1455,Live Heats,72454,168205,530552,17,False,
1456,Live Heats,72454,168205,1206490,21,False,
1457,Live Heats,72454,168205,1199256,21,False,
